t_ms,adc,p_kpa,pump
25982,948,0.983788,1
25992,941,0,1
26002,947,0.843262,1
26012,944,0.421631,1
26022,941,0,1
26032,942,0.140549,1
26042,938,-0.421631,1
26052,949,1.124344,1
26062,943,0.281075,1
26072,943,0.281075,1
26082,943,0.281075,1
26092,949,1.124344,1
26102,943,0.281075,1
26112,943,0.281075,1
26122,943,0.281075,1
26132,947,0.843262,1
26142,941,0,1
26152,942,0.140549,1
26162,944,0.421631,1
26172,953,1.686501,1
26182,950,1.26487,1
26192,947,0.843262,1
26202,947,0.843262,1
26212,943,0.281075,1
26222,940,-0.140533,1
26232,938,-0.421631,1
26242,943,0.281075,1
26252,934,-0.983795,1
26262,943,0.281075,1
26272,941,0,1
26282,943,0.281075,1
26292,936,-0.70269,1
26302,943,0.281075,1
26312,941,0,1
26322,938,-0.421631,1
26332,945,0.56218,1
26342,948,0.983788,1
26352,942,0.140549,1
26362,942,0.140549,1
26372,941,0,1
26382,942,0.140549,1
26392,957,2.248657,1
26402,945,0.56218,1
26412,950,1.26487,1
26422,948,0.983788,1
26432,948,0.983788,1
26442,944,0.421631,1
26452,942,0.140549,1
26462,947,0.843262,1
26472,953,1.686501,1
26482,938,-0.421631,1
26492,948,0.983788,1
26502,948,0.983788,1
26512,944,0.421631,1
26522,943,0.281075,1
26532,946,0.702705,1
26542,945,0.56218,1
26552,944,0.421631,1
26562,947,0.843262,1
26572,950,1.26487,1
26582,943,0.281075,1
26592,949,1.124344,1
26602,947,0.843262,1
26612,951,1.405418,1
26622,945,0.56218,1
26632,938,-0.421631,1
26642,946,0.702705,1
26652,942,0.140549,1
26662,939,-0.281082,1
26672,941,0,1
26682,943,0.281075,1
26692,940,-0.140533,1
26702,951,1.405418,1
26712,942,0.140549,1
26722,950,1.26487,1
26732,946,0.702705,1
26742,935,-0.843246,1
26752,937,-0.562164,1
26762,941,0,1
26772,944,0.421631,1
26782,946,0.702705,1
26792,935,-0.843246,1
26802,952,1.545952,1
26812,939,-0.281082,1
26822,939,-0.281082,1
26832,939,-0.281082,1
26842,937,-0.562164,1
26852,943,0.281075,1
26862,942,0.140549,1
26872,945,0.56218,1
26882,944,0.421631,1
26892,939,-0.281082,1
26902,942,0.140549,1
26912,952,1.545952,1
26922,942,0.140549,1
26932,949,1.124344,1
26942,954,1.827049,1
26952,939,-0.281082,1
26962,945,0.56218,1
26972,941,0,1
26982,938,-0.421631,1
26992,940,-0.140533,1
27002,941,0,1
27012,939,-0.281082,1
27022,946,0.702705,1
27032,944,0.421631,1
27042,940,-0.140533,1
27052,909,-4.497322,1
27062,857,-11.80549,1
27072,822,-16.72443,1
27082,789,-21.3623,1
27092,765,-24.73529,1
27102,737,-28.67046,1
27112,709,-32.60561,1
27122,684,-36.11915,1
27132,661,-39.3516,1
27142,652,-40.61647,1
27152,628,-43.98947,1
27162,612,-46.23813,1
27172,592,-49.04896,1
27182,586,-49.89221,1
27192,567,-52.5625,1
27202,559,-53.68682,1
27212,549,-55.09224,1
27222,531,-57.62199,1
27232,523,-58.74632,1
27242,517,-59.58957,1
27252,511,-60.43282,1
27262,503,-61.55715,1
27272,490,-63.38419,1
27282,490,-63.38419,1
27292,483,-64.36798,1
27302,481,-64.64906,1
27312,468,-66.4761,1
27322,463,-67.1788,1
27332,466,-66.75718,1
27342,459,-67.74097,1
27352,452,-68.72476,1
27362,448,-69.28693,1
27372,447,-69.42747,1
27382,449,-69.14639,1
27392,439,-70.5518,1
27402,435,-71.11397,1
27412,440,-70.41126,1
27422,431,-71.67613,1
27432,431,-71.67613,1
27442,424,-72.65993,1
27452,424,-72.65993,1
27462,431,-71.67613,1
27472,421,-73.08154,1
27482,420,-73.22208,1
27492,412,-74.34642,1
27502,424,-72.65993,1
27512,409,-74.76804,1
27522,423,-72.80046,1
27532,410,-74.6275,1
27542,412,-74.34642,1
27552,406,-75.18967,0
27562,411,-74.48696,0
27572,408,-74.90858,0
27582,405,-75.33021,0
27592,409,-74.76804,0
27602,403,-75.61129,0
27612,403,-75.61129,0
27622,401,-75.89238,0
27632,400,-76.03291,0
27642,402,-75.75183,0
27652,400,-76.03291,0
27662,398,-76.314,0
27672,391,-77.29779,0
27682,398,-76.314,0
27692,386,-78.0005,0
27702,398,-76.314,0
27712,389,-77.57887,0
27722,397,-76.45454,0
27732,398,-76.314,0
27742,404,-75.47075,0
27752,395,-76.73563,0
27762,395,-76.73563,0
27772,407,-75.04913,0
27782,394,-76.87617,0
27792,391,-77.29779,0
27802,393,-77.01671,0
27812,399,-76.17346,0
27822,392,-77.15725,0
27832,390,-77.43833,0
27842,396,-76.59508,0
27852,389,-77.57887,0
27862,387,-77.85995,0
27872,397,-76.45454,0
27882,391,-77.29779,0
27892,389,-77.57887,0
27902,388,-77.71941,0
27912,390,-77.43833,0
27922,389,-77.57887,0
27932,389,-77.57887,0
27942,392,-77.15725,0
27952,389,-77.57887,0
27962,392,-77.15725,0
27972,397,-76.45454,0
27982,393,-77.01671,0
27992,395,-76.73563,0
28002,393,-77.01671,0
28012,388,-77.71941,0
28022,389,-77.57887,0
28032,389,-77.57887,0
28042,386,-78.0005,0
28052,393,-77.01671,0
28062,386,-78.0005,0
28072,394,-76.87617,0
28082,393,-77.01671,0
28092,393,-77.01671,0
28102,389,-77.57887,0
28112,384,-78.28158,0
28122,389,-77.57887,0
28132,390,-77.43833,0
28142,389,-77.57887,0
28152,388,-77.71941,0
28162,389,-77.57887,0
28172,388,-77.71941,0
28182,393,-77.01671,0
28192,391,-77.29779,0
28202,387,-77.85995,0
28212,394,-76.87617,0
28222,386,-78.0005,0
28232,391,-77.29779,0
28242,393,-77.01671,0
28252,387,-77.85995,0
28262,387,-77.85995,0
28272,393,-77.01671,0
28282,392,-77.15725,0
28292,386,-78.0005,0
28302,388,-77.71941,0
28312,383,-78.42213,0
28322,380,-78.84375,0
28332,388,-77.71941,0
28342,394,-76.87617,0
28352,384,-78.28158,0
28362,391,-77.29779,0
28372,388,-77.71941,0
28382,389,-77.57887,0
28392,381,-78.7032,0
28402,389,-77.57887,0
28412,392,-77.15725,0
28422,386,-78.0005,0
28432,387,-77.85995,0
28442,388,-77.71941,0
28452,394,-76.87617,0
28462,395,-76.73563,0
28472,384,-78.28158,0
28482,383,-78.42213,0
28492,387,-77.85995,0
28502,387,-77.85995,0
28512,383,-78.42213,0
28522,390,-77.43833,0
28532,393,-77.01671,0
28542,391,-77.29779,0
28552,386,-78.0005,0
28562,393,-77.01671,0
28572,391,-77.29779,0
28582,389,-77.57887,0
28592,391,-77.29779,0
28602,387,-77.85995,0
28612,408,-74.90858,0
28622,465,-66.89773,0
28632,474,-65.63286,0
28642,479,-64.93015,0
28652,482,-64.50851,0
28662,480,-64.7896,0
28672,484,-64.22743,0
28682,484,-64.22743,0
28692,485,-64.0869,0
28702,487,-63.80581,0
28712,492,-63.1031,0
28722,489,-63.52473,0
28732,495,-62.68148,0
28742,495,-62.68148,0
28752,498,-62.25985,0
28762,494,-62.82202,0
28772,505,-61.27607,0
28782,502,-61.69769,0
28792,500,-61.97878,0
28802,503,-61.55715,0
28812,501,-61.83823,0
28822,514,-60.01119,0
28832,509,-60.71389,0
28842,514,-60.01119,0
28852,518,-59.44902,0
28862,517,-59.58957,0
28872,521,-59.0274,0
28882,518,-59.44902,0
28892,526,-58.3247,0
28902,524,-58.60578,0
28912,536,-56.91928,0
28922,531,-57.62199,0
28932,528,-58.04361,0
28942,527,-58.18415,0
28952,534,-57.20036,0
28962,527,-58.18415,0
28972,538,-56.6382,0
28982,535,-57.05983,0
28992,534,-57.20036,0
29002,535,-57.05983,0
29012,538,-56.6382,0
29022,538,-56.6382,0
29032,541,-56.21658,0
29042,549,-55.09224,0
29052,545,-55.65441,0
29062,554,-54.38954,0
29072,552,-54.67062,0
29082,550,-54.95169,0
29092,556,-54.10846,0
29102,552,-54.67062,0
29112,554,-54.38954,0
29122,557,-53.96791,0
29132,560,-53.54628,0
29142,557,-53.96791,0
29152,565,-52.84359,0
29162,564,-52.98412,0
29172,564,-52.98412,0
29182,567,-52.5625,0
29192,568,-52.42195,0
29202,564,-52.98412,0
29212,568,-52.42195,0
29222,579,-50.876,0
29232,581,-50.59491,0
29242,578,-51.01654,0
29252,582,-50.45437,0
29262,582,-50.45437,0
29272,588,-49.61113,0
29282,582,-50.45437,0
29292,583,-50.31384,0
29302,589,-49.47058,0
29312,590,-49.33004,0
29322,591,-49.1895,0
29332,597,-48.34626,0
29342,595,-48.62734,0
29352,595,-48.62734,0
29362,600,-47.92463,0
29372,601,-47.78408,0
29382,606,-47.08139,0
29392,608,-46.8003,0
29402,599,-48.06517,0
29412,609,-46.65975,0
29422,608,-46.8003,0
29432,609,-46.65975,0
29442,612,-46.23813,0
29452,608,-46.8003,0
29462,612,-46.23813,0
29472,614,-45.95705,0
29482,618,-45.39488,0
29492,620,-45.1138,0
29502,616,-45.67597,0
29512,619,-45.25434,0
29522,624,-44.55164,0
29532,620,-45.1138,0
29542,621,-44.97326,0
29552,628,-43.98947,0
29562,625,-44.41109,0
29572,629,-43.84893,0
29582,628,-43.98947,0
29592,634,-43.14622,0
29602,631,-43.56784,0
29612,637,-42.7246,0
29622,636,-42.86514,0
29632,644,-41.74081,0
29642,645,-41.60027,0
29652,643,-41.88134,0
29662,642,-42.02188,0
29672,644,-41.74081,0
29682,652,-40.61647,0
29692,649,-41.0381,0
29702,643,-41.88134,0
29712,652,-40.61647,0
29722,648,-41.17864,0
29732,655,-40.19485,0
29742,655,-40.19485,0
29752,647,-41.31918,0
29762,661,-39.3516,0
29772,664,-38.92997,0
29782,660,-39.49214,0
29792,669,-38.22727,0
29802,664,-38.92997,0
29812,662,-39.21106,0
29822,676,-37.24348,0
29832,667,-38.50835,0
29842,666,-38.6489,0
29852,668,-38.36781,0
29862,670,-38.08673,0
29872,677,-37.10294,0
29882,678,-36.96239,0
29892,675,-37.38402,0
29902,674,-37.52456,0
29912,677,-37.10294,0
29922,685,-35.97861,0
29932,682,-36.40022,0
29942,685,-35.97861,0
29952,680,-36.68131,0
29962,693,-34.85427,0
29972,687,-35.69753,0
29982,703,-33.44886,0
29992,694,-34.71374,0
30002,691,-35.13535,0
30012,696,-34.43266,0
30022,695,-34.5732,0
30032,693,-34.85427,0
30042,703,-33.44886,0
30052,700,-33.87048,0
30062,711,-32.32453,0
30072,701,-33.72994,0
30082,707,-32.8867,0
30092,707,-32.8867,0
30102,710,-32.46507,0
30112,708,-32.74615,0
30122,711,-32.32453,0
30132,712,-32.18399,0
30142,721,-30.91912,0
30152,716,-31.62183,0
30162,726,-30.21641,0
30172,725,-30.35696,0
30182,723,-30.63802,0
30192,728,-29.93533,0
30202,728,-29.93533,0
30212,725,-30.35696,0
30222,719,-31.2002,0
30232,729,-29.79478,0
30242,721,-30.91912,0
30252,732,-29.37315,0
30262,726,-30.21641,0
30272,737,-28.67046,0
30282,730,-29.65424,0
30292,731,-29.51369,0
30302,733,-29.23261,0
30312,732,-29.37315,0
30322,740,-28.24883,0
30332,738,-28.52991,0
30342,743,-27.8272,0
30352,738,-28.52991,0
30362,745,-27.54611,0
30372,745,-27.54611,0
30382,744,-27.68666,0
30392,743,-27.8272,0
30402,744,-27.68666,0
30412,753,-26.42179,0
30422,744,-27.68666,0
30432,752,-26.56233,0
30442,750,-26.84341,0
30452,748,-27.1245,0
30462,751,-26.70287,0
30472,759,-25.57854,0
30482,749,-26.98395,0
30492,755,-26.1407,0
30502,760,-25.438,0
30512,759,-25.57854,0
30522,767,-24.45421,0
30532,762,-25.15692,0
30542,763,-25.01637,0
30552,768,-24.31367,0
30562,769,-24.17313,0
30572,770,-24.03259,0
30582,766,-24.59476,0
30592,771,-23.89204,0
30602,772,-23.7515,0
30612,770,-24.03259,0
30622,774,-23.47041,0
30632,780,-22.62717,0
30642,779,-22.76772,0
30652,779,-22.76772,0
30662,779,-22.76772,0
30672,779,-22.76772,0
30682,783,-22.20554,0
30692,782,-22.34608,0
30702,784,-22.065,0
30712,785,-21.92446,0
30722,789,-21.3623,0
30732,786,-21.78392,0
30742,786,-21.78392,0
30752,788,-21.50285,0
30762,789,-21.3623,0
30772,795,-20.51904,0
30782,800,-19.81634,0
30792,792,-20.94067,0
30802,789,-21.3623,0
