t_ms,adc
1113031,946
1113041,935
1113051,932
1113061,930
1113071,940
1113081,934
1113091,937
1113101,941
1113111,947
1113121,939
1113131,947
1113141,943
1113151,938
1113161,933
1113171,950
1113181,952
1113191,937
1113201,938
1113211,946
1113221,950
1113231,936
1113241,940
1113251,940
1113261,940
1113271,937
1113281,941
1113291,935
1113301,944
1113311,936
1113321,945
1113331,944
1113341,937
1113351,948
1113361,934
1113371,938
1113381,941
1113391,942
1113401,945
1113411,941
1113421,946
1113431,944
1113441,942
1113451,940
1113461,938
1113471,939
1113481,941
1113491,944
1113501,946
1113511,951
1113521,945
1113531,950
1113541,943
1113551,948
1113561,950
1113571,944
1113581,932
1113591,943
1113601,932
1113611,932
1113621,941
1113631,939
1113641,934
1113651,950
1113661,944
1113671,947
1113681,932
1113691,940
1113701,938
1113711,943
1113721,939
1113731,936
1113741,940
1113751,944
1113761,941
1113771,942
1113781,942
1113791,951
1113801,942
1113811,948
1113821,940
1113831,946
1113841,933
1113851,954
1113861,938
1113871,949
1113881,938
1113891,940
1113901,944
1113911,943
1113921,932
1113931,940
1113941,939
1113951,935
1113961,942
1113971,940
1113981,946
1113991,941
1114001,939
1114011,938
1114021,942
1114031,937
1114041,938
1114051,937
1114061,942
1114071,941
1114081,939
1114091,931
1114101,942
1114111,944
1114121,943
1114131,940
1114141,942
1114151,945
1114161,942
1114171,935
1114181,936
1114191,941
1114201,945
1114211,942
1114221,938
1114231,948
1114241,942
1114251,944
1114261,940
1114271,937
1114281,940
1114291,935
1114301,939
1114311,934
1114321,940
1114331,939
1114341,938
1114351,939
1114361,937
1114371,943
1114381,938
1114391,943
1114401,934
1114411,944
1114421,946
1114431,938
1114441,936
1114451,939
1114461,936
1114471,949
1114481,949
1114491,941
1114501,936
1114511,943
1114521,943
1114531,941
1114541,941
1114551,948
1114561,945
1114571,948
1114581,939
1114591,946
1114601,943
1114611,934
1114621,943
1114631,946
1114641,939
1114651,942
1114661,935
1114671,945
1114681,945
1114691,944
1114701,953
1114711,934
1114721,937
1114731,939
1114741,949
1114751,939
1114761,933
1114771,940
1114781,940
1114791,946
1114801,946
1114811,943
1114821,941
1114831,945
1114841,938
1114851,939
1114861,936
1114871,940
1114881,939
1114891,938
1114901,947
1114911,947
1114921,943
1114931,938
1114941,942
1114951,945
1114961,940
1114971,939
1114981,949
1114991,940
1115001,940
1115011,943
1115021,942
1115031,949
1115041,940
1115051,949
1115061,945
1115071,940
1115081,941
1115091,941
1115101,946
1115111,943
1115121,945
1115131,941
1115141,942
1115151,943
1115161,950
1115171,949
1115181,938
1115191,930
1115201,940
1115211,932
1115221,936
1115231,937
1115241,940
1115251,948
1115261,950
1115271,950
1115281,940
1115291,937
1115301,940
1115311,940
1115321,947
1115331,948
1115341,937
1115351,942
1115361,945
1115371,947
1115381,943
1115391,950
1115401,942
1115411,941
1115421,941
1115431,941
1115441,950
1115451,940
1115461,939
1115471,937
1115481,946
1115491,946
1115501,946
1115511,943
1115521,943
1115531,948
1115541,939
1115551,943
1115561,941
1115571,944
1115581,941
1115591,932
1115601,943
1115611,933
1115621,936
1115631,940
1115641,952
1115651,947
1115661,948
1115671,946
1115681,946
1115691,945
1115701,952
1115711,938
1115721,942
1115731,950
1115741,942
1115751,935
1115761,842
1115771,776
1115781,736
1115791,694
1115801,659
1115811,607
1115821,571
1115831,538
1115841,510
1115851,506
1115861,487
1115871,466
1115881,453
1115891,439
1115901,436
1115911,426
1115921,415
1115931,418
1115941,397
1115951,405
1115961,395
1115971,392
1115981,386
1115991,392
1116001,383
1116011,377
1116021,382
1116031,376
1116041,368
1116051,373
1116061,368
1116071,361
