t_ms,adc,p_kpa,pump
2714,943,0.843239,0
2724,939,0.281082,0
2734,940,0.421631,0
2744,932,-0.702713,0
2754,942,0.702713,0
2764,941,0.562164,0
2774,944,0.983795,0
2784,942,0.702713,0
2794,935,-0.281082,0
2804,941,0.562164,0
2814,939,0.281082,0
2824,945,1.124344,0
2834,937,0,0
2844,938,0.140533,0
2854,937,0,0
2864,937,0,0
2874,938,0.140533,0
2884,952,2.108116,0
2894,935,-0.281082,0
2904,937,0,0
2914,933,-0.562157,0
2924,944,0.983795,0
2934,937,0,0
2944,941,0.562164,0
2954,942,0.702713,0
2964,935,-0.281082,0
2974,936,-0.140526,0
2984,934,-0.421631,0
2994,939,0.281082,0
3004,938,0.140533,0
3014,937,0,0
3024,932,-0.702713,0
3034,938,0.140533,0
3044,942,0.702713,0
3054,935,-0.281082,0
3064,938,0.140533,0
3074,933,-0.562157,0
3084,948,1.545952,0
3094,945,1.124344,0
3104,951,1.967583,0
3114,934,-0.421631,0
3124,940,0.421631,0
3134,938,0.140533,0
3144,934,-0.421631,0
3154,937,0,0
3164,938,0.140533,0
3174,938,0.140533,0
3184,939,0.281082,0
3194,939,0.281082,0
3204,946,1.26487,0
3214,940,0.421631,0
3224,940,0.421631,0
3234,942,0.702713,0
3244,945,1.124344,0
3254,932,-0.702713,0
3264,935,-0.281082,0
3274,941,0.562164,0
3284,940,0.421631,0
3294,953,2.248665,0
3304,944,0.983795,0
3314,943,0.843239,0
3324,946,1.26487,0
3334,944,0.983795,0
3344,940,0.421631,0
3354,943,0.843239,0
3364,947,1.405426,0
3374,940,0.421631,0
3384,936,-0.140526,0
3394,940,0.421631,0
3404,942,0.702713,0
3414,939,0.281082,0
3424,944,0.983795,0
3434,939,0.281082,0
3444,936,-0.140526,0
3454,948,1.545952,0
3464,941,0.562164,0
3474,942,0.702713,0
3484,950,1.827034,0
3494,940,0.421631,0
3504,938,0.140533,0
3514,934,-0.421631,0
3524,941,0.562164,0
3534,937,0,0
3544,944,0.983795,0
3554,944,0.983795,0
3564,948,1.545952,0
3574,942,0.702713,0
3584,937,0,0
3594,935,-0.281082,0
3604,940,0.421631,0
3614,940,0.421631,0
3624,939,0.281082,0
3634,937,0,0
3644,948,1.545952,0
3654,933,-0.562157,0
3664,936,-0.140526,0
3674,936,-0.140526,0
3684,934,-0.421631,0
3694,943,0.843239,0
3704,933,-0.562157,0
3714,933,-0.562157,0
3724,932,-0.702713,0
3734,940,0.421631,0
3744,943,0.843239,0
3754,950,1.827034,0
3764,941,0.562164,0
3774,944,0.983795,0
3784,947,1.405426,0
3794,949,1.686508,0
3804,937,0,0
3814,946,1.26487,0
3824,936,-0.140526,0
3834,937,0,0
3844,932,-0.702713,0
3854,936,-0.140526,0
3864,937,0,0
3874,947,1.405426,0
3884,948,1.545952,0
3894,943,0.843239,0
3904,948,1.545952,0
3914,945,1.124344,0
3924,941,0.562164,0
3934,949,1.686508,0
3944,937,0,0
3954,937,0,0
3964,935,-0.281082,0
3974,956,2.670296,0
3984,943,0.843239,0
3994,943,0.843239,0
4004,939,0.281082,0
4014,942,0.702713,0
4024,950,1.827034,0
4034,947,1.405426,0
4044,946,1.26487,0
4054,944,0.983795,0
4064,946,1.26487,0
4074,945,1.124344,0
4084,935,-0.281082,0
4094,938,0.140533,0
4104,932,-0.702713,0
4114,939,0.281082,0
4124,945,1.124344,0
4134,942,0.702713,0
4144,942,0.702713,0
4154,949,1.686508,0
4164,939,0.281082,0
4174,940,0.421631,0
4184,946,1.26487,0
4194,937,0,0
4204,947,1.405426,0
4214,937,0,0
4224,940,0.421631,0
4234,936,-0.140526,0
4244,938,0.140533,0
4254,937,0,0
4264,941,0.562164,0
4274,949,1.686508,0
4284,947,1.405426,0
4294,941,0.562164,0
4304,945,1.124344,0
4314,939,0.281082,0
4324,943,0.843239,0
4334,935,-0.281082,0
4344,946,1.26487,0
4354,947,1.405426,0
4364,939,0.281082,0
4374,946,1.26487,0
4384,943,0.843239,0
4394,937,0,0
4404,955,2.529747,0
4414,935,-0.281082,0
4424,944,0.983795,0
4434,942,0.702713,0
4444,942,0.702713,0
4454,935,-0.281082,0
4464,944,0.983795,0
4474,946,1.26487,0
4484,949,1.686508,0
4494,938,0.140533,0
4504,941,0.562164,0
4514,937,0,0
4524,945,1.124344,0
4534,937,0,0
4544,934,-0.421631,0
4554,936,-0.140526,0
4564,943,0.843239,0
4574,934,-0.421631,0
4584,930,-0.983788,0
4594,937,0,0
4604,932,-0.702713,0
4614,939,0.281082,0
4624,941,0.562164,0
4634,935,-0.281082,0
4644,944,0.983795,0
4654,937,0,0
4664,939,0.281082,0
4674,934,-0.421631,0
4684,931,-0.843239,0
4694,938,0.140533,0
4704,934,-0.421631,0
4714,935,-0.281082,0
4724,938,0.140533,0
4734,937,0,0
4744,940,0.421631,0
4754,943,0.843239,0
4764,938,0.140533,0
4774,944,0.983795,0
4784,938,0.140533,0
4794,943,0.843239,0
4804,940,0.421631,0
4814,938,0.140533,0
4824,946,1.26487,0
4834,937,0,0
4844,943,0.843239,0
4854,935,-0.281082,0
4864,932,-0.702713,0
4874,939,0.281082,0
4884,939,0.281082,0
4894,939,0.281082,0
4904,939,0.281082,0
4914,935,-0.281082,0
4924,935,-0.281082,0
4934,941,0.562164,0
4944,936,-0.140526,0
4954,951,1.967583,0
4964,939,0.281082,0
4974,936,-0.140526,0
4984,939,0.281082,0
4994,937,0,0
5004,953,2.248665,0
5014,932,-0.702713,0
5024,945,1.124344,0
5034,938,0.140533,0
5044,941,0.562164,0
5054,934,-0.421631,0
5064,935,-0.281082,0
5074,937,0,0
5084,935,-0.281082,0
5094,945,1.124344,0
5104,943,0.843239,0
5114,946,1.26487,0
5124,939,0.281082,0
5134,947,1.405426,0
5144,947,1.405426,0
5154,939,0.281082,0
5164,938,0.140533,0
5174,939,0.281082,0
5184,939,0.281082,0
5194,937,0,0
5204,942,0.702713,0
5214,934,-0.421631,0
5224,948,1.545952,0
5234,941,0.562164,0
5244,948,1.545952,0
5254,942,0.702713,0
5264,937,0,0
5274,937,0,0
5284,936,-0.140526,0
5294,931,-0.843239,0
5304,933,-0.562157,0
5314,937,0,0
5324,940,0.421631,0
5334,942,0.702713,0
5344,945,1.124344,0
5354,948,1.545952,0
5364,940,0.421631,0
5374,942,0.702713,0
5384,942,0.702713,0
5394,941,0.562164,0
5404,938,0.140533,0
5414,939,0.281082,0
5424,947,1.405426,0
5434,941,0.562164,0
5444,945,1.124344,0
5454,947,1.405426,0
5464,939,0.281082,0
5474,937,0,0
5484,937,0,0
5494,944,0.983795,0
5504,954,2.389214,0
5514,935,-0.281082,0
5524,930,-0.983788,0
5534,938,0.140533,0
5544,939,0.281082,0
5554,931,-0.843239,0
5564,940,0.421631,0
5574,940,0.421631,0
5584,932,-0.702713,0
5594,945,1.124344,0
5604,940,0.421631,0
5614,940,0.421631,0
5624,935,-0.281082,0
5634,940,0.421631,0
5644,932,-0.702713,0
5654,939,0.281082,0
5664,941,0.562164,0
5674,926,-1.545952,0
5684,939,0.281082,0
5694,942,0.702713,0
5704,938,0.140533,0
5714,933,-0.562157,0
5724,934,-0.421631,0
5734,944,0.983795,0
5744,939,0.281082,0
5754,939,0.281082,0
5764,936,-0.140526,0
5774,938,0.140533,0
5784,945,1.124344,0
5794,944,0.983795,0
5804,944,0.983795,0
5814,941,0.562164,0
5824,946,1.26487,0
5834,949,1.686508,0
5844,944,0.983795,0
5854,945,1.124344,0
5864,938,0.140533,0
5874,937,0,0
5884,937,0,0
5894,932,-0.702713,0
5904,947,1.405426,0
5914,945,1.124344,0
5924,946,1.26487,0
5934,945,1.124344,0
5944,944,0.983795,0
5954,950,1.827034,0
5964,937,0,0
5974,947,1.405426,0
5984,946,1.26487,0
5994,938,0.140533,0
6004,946,1.26487,0
6014,942,0.702713,0
6024,942,0.702713,0
6034,948,1.545952,0
6044,950,1.827034,0
6054,941,0.562164,0
6064,950,1.827034,0
6074,947,1.405426,0
6084,937,0,0
6094,933,-0.562157,0
6104,943,0.843239,0
6114,942,0.702713,0
6124,936,-0.140526,0
6134,934,-0.421631,0
6144,946,1.26487,0
6154,935,-0.281082,0
6164,947,1.405426,0
6174,945,1.124344,0
6184,941,0.562164,0
6194,936,-0.140526,0
6204,948,1.545952,0
6214,951,1.967583,0
6224,929,-1.124344,0
6234,946,1.26487,0
6244,940,0.421631,0
6254,935,-0.281082,0
6264,935,-0.281082,0
6274,953,2.248665,0
6284,935,-0.281082,0
6294,936,-0.140526,0
6304,937,0,0
6314,945,1.124344,0
6324,942,0.702713,0
6334,936,-0.140526,0
6344,949,1.686508,0
6354,938,0.140533,0
6364,943,0.843239,0
6374,944,0.983795,0
6384,948,1.545952,0
6394,935,-0.281082,0
6404,936,-0.140526,0
6414,949,1.686508,0
6424,949,1.686508,0
6434,948,1.545952,0
6444,943,0.843239,0
6454,948,1.545952,0
6464,939,0.281082,0
6474,944,0.983795,0
6484,936,-0.140526,0
6494,946,1.26487,0
6504,941,0.562164,0
6514,938,0.140533,0
6524,937,0,0
6534,935,-0.281082,0
6544,940,0.421631,0
6554,937,0,0
6564,944,0.983795,0
6574,938,0.140533,0
6584,939,0.281082,0
6594,934,-0.421631,0
6604,935,-0.281082,0
6614,934,-0.421631,0
6624,934,-0.421631,0
6634,937,0,0
6644,932,-0.702713,0
6654,934,-0.421631,0
6664,938,0.140533,0
6674,937,0,0
6684,939,0.281082,0
6694,936,-0.140526,0
6704,939,0.281082,0
6714,931,-0.843239,0
6724,934,-0.421631,0
6734,942,0.702713,0
6744,933,-0.562157,0
6754,940,0.421631,0
6764,940,0.421631,0
6774,935,-0.281082,0
6784,930,-0.983788,0
6794,942,0.702713,0
6804,933,-0.562157,0
6814,941,0.562164,0
6824,942,0.702713,0
6834,935,-0.281082,0
6844,940,0.421631,0
6854,936,-0.140526,0
6864,940,0.421631,0
6874,934,-0.421631,0
6884,950,1.827034,0
6894,943,0.843239,0
6904,944,0.983795,0
6914,934,-0.421631,0
6924,947,1.405426,0
6934,943,0.843239,0
6944,947,1.405426,0
6954,939,0.281082,0
6964,940,0.421631,0
6974,936,-0.140526,0
6984,937,0,0
6994,941,0.562164,0
7004,939,0.281082,0
