t_ms,adc,p_kpa,pump
212224,935,-0.702713,0
212234,945,0.702713,0
212244,946,0.843239,0
212254,944,0.562164,0
212264,941,0.140533,0
212274,942,0.281082,0
212284,947,0.983795,0
212294,942,0.281082,0
212304,948,1.124321,0
212314,949,1.264877,0
212324,946,0.843239,0
212334,949,1.264877,0
212344,942,0.281082,0
212354,945,0.702713,0
212364,941,0.140533,0
212374,940,0,0
212384,940,0,0
212394,944,0.562164,0
212404,947,0.983795,0
212414,946,0.843239,0
212424,950,1.405403,0
212434,943,0.421608,0
212444,945,0.702713,0
212454,939,-0.140549,0
212464,944,0.562164,0
212474,944,0.562164,0
212484,949,1.264877,0
212494,938,-0.281097,0
212504,943,0.421608,0
212514,955,2.108116,0
212524,951,1.545952,0
212534,949,1.264877,0
212544,956,2.248665,0
212554,945,0.702713,0
212564,947,0.983795,0
212574,941,0.140533,0
212584,948,1.124321,0
212594,939,-0.140549,0
212604,944,0.562164,0
212614,942,0.281082,0
212624,948,1.124321,0
212634,944,0.562164,0
212644,942,0.281082,0
212654,949,1.264877,0
212664,944,0.562164,0
212674,944,0.562164,0
212684,943,0.421608,0
212694,958,2.529747,0
212704,952,1.686485,0
212714,945,0.702713,0
212724,945,0.702713,0
212734,944,0.562164,0
212744,944,0.562164,0
212754,952,1.686485,0
212764,950,1.405403,0
212774,947,0.983795,0
212784,953,1.827034,0
212794,945,0.702713,0
212804,953,1.827034,0
212814,942,0.281082,0
212824,938,-0.281097,0
212834,939,-0.140549,0
212844,939,-0.140549,0
212854,955,2.108116,0
212864,949,1.264877,0
212874,952,1.686485,0
212884,938,-0.281097,0
212894,945,0.702713,0
212904,941,0.140533,0
212914,942,0.281082,0
212924,945,0.702713,0
212934,940,0,0
212944,941,0.140533,0
212954,946,0.843239,0
212964,941,0.140533,0
212974,950,1.405403,0
212984,949,1.264877,0
212994,950,1.405403,0
213004,948,1.124321,0
213014,940,0,0
213024,943,0.421608,0
213034,939,-0.140549,0
213044,947,0.983795,0
213054,946,0.843239,0
213064,938,-0.281097,0
213074,939,-0.140549,0
213084,952,1.686485,0
213094,946,0.843239,0
213104,946,0.843239,0
213114,942,0.281082,0
