t_ms,adc,p_kpa,pump
1610491,936,-1.124321,0
1610501,947,0.421631,0
1610511,937,-0.983795,0
1610521,944,0,0
1610531,944,0,0
1610541,950,0.843239,0
1610551,946,0.281075,0
1610561,936,-1.124321,0
1610571,943,-0.140556,0
1610581,942,-0.281082,0
1610591,946,0.281075,0
1610601,943,-0.140556,0
1610611,951,0.983788,0
1610621,942,-0.281082,0
1610631,943,-0.140556,0
1610641,950,0.843239,0
1610651,948,0.562157,0
1610661,948,0.562157,0
1610671,941,-0.421631,0
1610681,941,-0.421631,0
1610691,947,0.421631,0
1610701,941,-0.421631,0
1610711,961,2.389191,0
1610721,948,0.562157,0
1610731,951,0.983788,0
1610741,944,0,0
1610751,951,0.983788,0
1610761,946,0.281075,0
1610771,945,0.140549,0
1610781,943,-0.140556,0
1610791,948,0.562157,0
1610801,952,1.124321,0
1610811,946,0.281075,0
1610821,960,2.248665,0
1610831,946,0.281075,0
1610841,937,-0.983795,0
1610851,940,-0.562164,0
1610861,943,-0.140556,0
1610871,951,0.983788,0
1610881,943,-0.140556,0
1610891,952,1.124321,0
1610901,941,-0.421631,0
1610911,949,0.702713,0
1610921,953,1.26487,0
1610931,945,0.140549,0
1610941,946,0.281075,0
1610951,944,0,0
1610961,942,-0.281082,0
1610971,943,-0.140556,0
1610981,942,-0.281082,0
1610991,944,0,0
1611001,949,0.702713,0
1611011,946,0.281075,0
1611021,947,0.421631,0
1611031,941,-0.421631,0
1611041,944,0,0
1611051,942,-0.281082,0
1611061,942,-0.281082,0
1611071,952,1.124321,0
1611081,938,-0.843262,0
1611091,955,1.545952,0
1611101,947,0.421631,0
1611111,941,-0.421631,0
1611121,938,-0.843262,0
1611131,949,0.702713,0
1611141,936,-1.124321,0
1611151,943,-0.140556,0
1611161,954,1.405418,0
1611171,947,0.421631,0
1611181,952,1.124321,0
1611191,951,0.983788,0
1611201,941,-0.421631,0
1611211,940,-0.562164,0
1611221,939,-0.702713,0
1611231,945,0.140549,0
