t_ms,adc,p_kpa,pump
1566654,911,-4.637878,0
1566664,911,-4.637878,0
1566674,907,-5.200035,0
1566684,915,-4.075699,0
1566694,908,-5.059494,0
1566704,908,-5.059494,0
1566714,913,-4.356781,0
1566724,909,-4.918953,0
1566734,912,-4.497337,0
1566744,912,-4.497337,0
1566754,905,-5.481117,0
1566764,913,-4.356781,0
1566774,911,-4.637878,0
1566784,912,-4.497337,0
1566794,921,-3.23246,0
1566804,910,-4.778412,0
1566814,917,-3.794617,0
1566824,909,-4.918953,0
1566834,919,-3.513535,0
1566844,912,-4.497337,0
1566854,914,-4.216248,0
1566864,913,-4.356781,0
1566874,907,-5.200035,0
1566884,909,-4.918953,0
1566894,909,-4.918953,0
1566904,902,-5.902748,0
1566914,911,-4.637878,0
1566924,900,-6.18383,0
1566934,907,-5.200035,0
1566944,907,-5.200035,0
1566954,900,-6.18383,0
1566964,907,-5.200035,0
1566974,909,-4.918953,0
1566984,905,-5.481117,0
1566994,905,-5.481117,0
1567004,911,-4.637878,0
1567014,906,-5.340576,0
1567024,911,-4.637878,0
1567034,908,-5.059494,0
1567044,907,-5.200035,0
1567054,907,-5.200035,0
1567064,903,-5.762207,0
1567074,914,-4.216248,0
1567084,912,-4.497337,0
1567094,911,-4.637878,0
1567104,908,-5.059494,0
1567114,912,-4.497337,0
1567124,909,-4.918953,0
1567134,915,-4.075699,0
1567144,910,-4.778412,0
1567154,909,-4.918953,0
1567164,917,-3.794617,0
1567174,908,-5.059494,0
1567184,911,-4.637878,0
1567194,910,-4.778412,0
1567204,910,-4.778412,0
1567214,911,-4.637878,0
1567224,916,-3.935173,0
1567234,914,-4.216248,0
1567244,911,-4.637878,0
1567254,910,-4.778412,0
1567264,910,-4.778412,0
1567274,911,-4.637878,0
1567284,917,-3.794617,0
1567294,917,-3.794617,0
1567304,913,-4.356781,0
1567314,916,-3.935173,0
1567324,909,-4.918953,0
1567334,905,-5.481117,0
1567344,914,-4.216248,0
1567354,905,-5.481117,0
1567364,917,-3.794617,0
1567374,914,-4.216248,0
1567384,920,-3.373009,0
1567394,916,-3.935173,0
1567404,912,-4.497337,0
1567414,921,-3.23246,0
1567424,912,-4.497337,0
1567434,909,-4.918953,0
1567444,915,-4.075699,0
1567454,916,-3.935173,0
1567464,910,-4.778412,0
1567474,908,-5.059494,0
1567484,911,-4.637878,0
1567494,902,-5.902748,0
1567504,908,-5.059494,0
1567514,921,-3.23246,0
1567524,912,-4.497337,0
1567534,906,-5.340576,0
1567544,915,-4.075699,0
1567554,905,-5.481117,0
1567564,918,-3.654091,0
1567574,918,-3.654091,0
1567584,920,-3.373009,0
1567594,914,-4.216248,0
1567604,905,-5.481117,0
1567614,920,-3.373009,0
1567624,908,-5.059494,0
1567634,922,-3.091904,0
1567644,917,-3.794617,0
1567654,899,-6.324364,0
1567664,908,-5.059494,0
1567674,902,-5.902748,0
1567684,908,-5.059494,0
1567694,915,-4.075699,0
1567704,906,-5.340576,0
1567714,908,-5.059494,0
1567724,915,-4.075699,0
1567734,911,-4.637878,0
1567744,921,-3.23246,0
1567754,907,-5.200035,0
1567764,914,-4.216248,0
1567774,908,-5.059494,0
1567784,914,-4.216248,0
1567794,915,-4.075699,0
1567804,912,-4.497337,0
1567814,905,-5.481117,0
1567824,916,-3.935173,0
1567834,912,-4.497337,0
1567844,912,-4.497337,0
1567854,909,-4.918953,0
1567864,919,-3.513535,0
1567874,913,-4.356781,0
1567884,916,-3.935173,0
1567894,918,-3.654091,0
1567904,908,-5.059494,0
1567914,918,-3.654091,0
1567924,913,-4.356781,0
1567934,909,-4.918953,0
1567944,913,-4.356781,0
1567954,913,-4.356781,0
1567964,913,-4.356781,0
1567974,909,-4.918953,0
1567984,915,-4.075699,0
1567994,916,-3.935173,0
1568004,909,-4.918953,0
1568014,921,-3.23246,0
1568024,913,-4.356781,0
1568034,918,-3.654091,0
1568044,914,-4.216248,0
1568054,903,-5.762207,0
1568064,908,-5.059494,0
1568074,912,-4.497337,0
1568084,910,-4.778412,0
1568094,911,-4.637878,0
1568104,912,-4.497337,0
1568114,910,-4.778412,0
1568124,906,-5.340576,0
1568134,907,-5.200035,0
1568144,906,-5.340576,0
1568154,906,-5.340576,0
1568164,909,-4.918953,0
1568174,907,-5.200035,0
1568184,909,-4.918953,0
1568194,905,-5.481117,0
1568204,912,-4.497337,0
1568214,918,-3.654091,0
1568224,913,-4.356781,0
1568234,914,-4.216248,0
1568244,920,-3.373009,0
1568254,908,-5.059494,0
1568264,905,-5.481117,0
1568274,913,-4.356781,0
1568284,905,-5.481117,0
1568294,909,-4.918953,0
1568304,912,-4.497337,0
1568314,915,-4.075699,0
1568324,910,-4.778412,0
1568334,907,-5.200035,0
1568344,912,-4.497337,0
1568354,907,-5.200035,0
1568364,918,-3.654091,0
1568374,907,-5.200035,0
1568384,917,-3.794617,0
1568394,910,-4.778412,0
1568404,909,-4.918953,0
1568414,908,-5.059494,0
1568424,913,-4.356781,0
1568434,915,-4.075699,0
1568444,909,-4.918953,0
1568454,911,-4.637878,0
1568464,920,-3.373009,0
1568474,916,-3.935173,0
1568484,912,-4.497337,0
1568494,914,-4.216248,0
1568504,913,-4.356781,0
1568514,922,-3.091904,0
1568524,905,-5.481117,0
1568534,909,-4.918953,0
1568544,917,-3.794617,0
1568554,907,-5.200035,0
1568564,919,-3.513535,0
1568574,908,-5.059494,0
1568584,912,-4.497337,0
1568594,910,-4.778412,0
1568604,912,-4.497337,0
1568614,906,-5.340576,0
1568624,909,-4.918953,0
1568634,913,-4.356781,0
1568644,904,-5.621658,0
1568654,906,-5.340576,0
